product_id,category,brand,mrp,selling_price,discount_pct,rating,num_ratings,listing_date
FLP-30000,Laptops,HP,33790,22840,32.4,3.6,1497,2025-07-03
FLP-30001,Home Appliances,Samsung,14220,9690,31.9,3.3,1594,2026-02-14
FLP-30002,Home Appliances,Whirlpool,6000,4910,18.1,4.3,1954,2026-02-15
FLP-30003,Laptops,Acer,25930,19840,23.5,3.5,317,2025-09-06
FLP-30004,Smartphones,Vivo,19780,14410,27.2,3.8,763,2025-12-19
FLP-30005,Headphones,Sony,2740,2160,21.2,4.6,1828,2025-09-22
FLP-30006,Laptops,HP,48950,31530,35.6,3.8,292,2026-03-19
FLP-30007,Home Appliances,Bosch,32190,25160,21.8,3.3,1739,2025-06-26
FLP-30008,Smartwatches,boAt,3860,2290,40.7,3.9,1074,2025-09-06
FLP-30009,Laptops,Dell,90640,64480,28.9,3.8,1517,2025-07-17
FLP-30010,Home Appliances,Havells,13230,9340,29.4,3.3,676,2025-10-04
FLP-30011,Smartphones,Apple,7500,5810,22.6,3.7,289,2025-12-31
FLP-30012,Footwear,Nike,900,670,26.1,3.9,1452,2025-03-12
FLP-30013,Home Appliances,Bosch,33700,30300,10.1,3.6,1683,2025-08-11
FLP-30014,Headphones,boAt,1230,650,47.2,4.4,521,2025-08-24
FLP-30015,Laptops,Acer,117250,72690,38.0,4.5,142,2026-02-15
FLP-30016,Headphones,Boult,1000,810,19.5,4.3,557,2025-01-20
FLP-30017,Headphones,Sony,1670,1250,25.0,4.6,1320,2025-05-17
FLP-30018,Headphones,Boult,5610,4210,25.0,3.7,1051,2025-11-05
FLP-30019,Smartwatches,Samsung,1500,1110,25.8,3.6,746,2025-07-02
FLP-30020,Footwear,Nike,1170,1050,10.6,3.4,702,2025-01-30
FLP-30021,Footwear,Puma,940,670,28.8,3.5,960,2026-02-09
FLP-30022,Fashion,Van Heusen,940,680,28.1,4.5,2954,2026-01-15
FLP-30023,Smartwatches,boAt,1500,960,36.3,3.9,110,2026-05-22
FLP-30024,Home Appliances,Bosch,6000,4590,23.5,3.5,1350,2026-06-04
