product_id,category,brand,mrp,selling_price,discount_pct,rating,num_ratings,listing_date,discount_norm,rating_norm,popularity_norm,deal_score
FLP-30000,Laptops,HP,33790,22840,32.4,3.6,1497,2025-07-03,0.5567970204738026,0.439999999824,0.25318174104865887,47.0
FLP-30001,Home Appliances,Samsung,14220,9690,31.9,3.3,1594,2026-02-14,0.5907407407298011,0.2916666665451388,0.2866678693847579,44.0
FLP-30002,Home Appliances,Whirlpool,6000,4910,18.1,4.3,1954,2026-02-15,0.3351851851789781,0.7083333330381943,0.3516146491069183,46.800000000000004
FLP-30003,Laptops,Acer,25930,19840,23.5,3.5,317,2025-09-06,0.39106145250668417,0.39999999984,0.05294417105038979,34.300000000000004
FLP-30004,Smartphones,Vivo,19780,14410,27.2,3.8,763,2025-12-19,0.44884488448104215,0.49999999979166654,0.16822015090986056,42.5
FLP-30005,Headphones,Sony,2740,2160,21.2,4.6,1828,2025-09-22,0.36239316238696767,0.851851851536351,0.2882669196710486,52.300000000000004
FLP-30006,Laptops,HP,48950,31530,35.6,3.8,292,2026-03-19,0.6163873370462498,0.519999999792,0.048701849652121376,49.7
FLP-30007,Home Appliances,Bosch,32190,25160,21.8,3.3,1739,2025-06-26,0.40370370369622777,0.2916666665451388,0.31282698899507255,35.099999999999994
FLP-30008,Smartwatches,boAt,3860,2290,40.7,3.9,1074,2025-09-06,0.6874999999883868,0.5769230767011834,0.2261476623650886,57.99999999999999
FLP-30009,Laptops,Dell,90640,64480,28.9,3.8,1517,2025-07-17,0.4916201117226886,0.519999999792,0.2565755981672736,46.6
FLP-30010,Home Appliances,Havells,13230,9340,29.4,3.3,676,2025-10-04,0.5444444444343621,0.2916666665451388,0.12105358109324894,39.2
FLP-30011,Smartphones,Apple,7500,5810,22.6,3.7,289,2025-12-31,0.3729372937232189,0.45833333314236113,0.06302707501108232,35.6
FLP-30012,Footwear,Nike,900,670,26.1,3.9,1452,2025-03-12,0.45950704224543126,0.5925925923731138,0.23414239482196858,47.199999999999996
FLP-30013,Home Appliances,Bosch,33700,30300,10.1,3.6,1683,2025-08-11,0.18703703703357338,0.41666666649305556,0.3027241565938476,28.499999999999996
FLP-30014,Headphones,boAt,1230,650,47.2,4.4,521,2025-08-24,0.8068376068238149,0.7777777774897121,0.08159392789372523,68.8
FLP-30015,Laptops,Acer,117250,72690,38.0,4.5,142,2026-02-15,0.6610800744755851,0.79999999968,0.0232479212625109,61.4
FLP-30016,Headphones,Boult,1000,810,19.5,4.3,557,2025-01-20,0.3333333333276354,0.7407407404663923,0.08728652751421768,43.9
FLP-30017,Headphones,Sony,1670,1250,25.0,4.6,1320,2025-05-17,0.42735042734312223,0.851851851536351,0.20793801391521063,54.300000000000004
FLP-30018,Headphones,Boult,5610,4210,25.0,3.7,1051,2025-11-05,0.42735042734312223,0.5185185183264747,0.16540164452875308,42.0
FLP-30019,Smartwatches,Samsung,1500,1110,25.8,3.6,746,2025-07-02,0.43581081080344913,0.4615384613609468,0.15675904379095476,40.300000000000004
FLP-30020,Footwear,Nike,1170,1050,10.6,3.4,702,2025-01-30,0.18661971830657362,0.40740740725651575,0.11278317152101734,25.3
FLP-30021,Footwear,Puma,940,670,28.8,3.5,960,2026-02-09,0.5070422535122,0.4444444442798354,0.15453074433654457,43.2
FLP-30022,Fashion,Van Heusen,940,680,28.1,4.5,2954,2026-01-15,0.43607305935077467,0.8076923073816568,0.5912189254208918,58.9
FLP-30023,Smartwatches,boAt,1500,960,36.3,3.9,110,2026-05-22,0.6131756756653179,0.5769230767011834,0.022212819970378207,51.2
FLP-30024,Home Appliances,Bosch,6000,4590,23.5,3.5,1350,2026-06-04,0.43518518517712623,0.37499999984375,0.24264838535084923,38.5
FLP-30025,Home Appliances,Samsung,10210,7550,26.1,4.3,106,2026-06-13,0.4833333333243828,0.7083333330381943,0.018221179866494998,49.2
FLP-30026,Smartwatches,Samsung,3140,1580,49.8,4.1,3636,2025-03-07,0.8412162162020065,0.6538461535946745,0.7681404696423167,76.5
FLP-30027,Smartwatches,Fire-Boltt,4260,3160,25.9,3.5,340,2025-01-02,0.4374999999926098,0.4230769229142012,0.0708694732388257,37.7
FLP-30028,Home Appliances,Whirlpool,15770,14210,9.9,3.5,1055,2025-10-02,0.1833333333299383,0.37499999984375,0.1894281075229678,25.1
FLP-30029,Home Appliances,Whirlpool,6240,4220,32.3,4.7,501,2025-05-22,0.5981481481370713,0.8749999996354167,0.08948222983942097,61.9
FLP-30030,Footwear,Puma,1530,1100,28.3,4.2,403,2025-06-15,0.49823943661094655,0.7037037034430728,0.06440129449837145,50.5
FLP-30031,Televisions,LG,50290,33090,34.2,4.2,1892,2026-02-05,0.6452830188557495,0.7241379307847801,0.41236888111879094,63.800000000000004
FLP-30032,Smartwatches,Apple,4630,3630,21.7,4.0,699,2025-05-01,0.36655405404786223,0.615384615147929,0.14681616247088072,42.1
FLP-30033,Home Appliances,Whirlpool,6110,4570,25.1,3.9,161,2025-10-18,0.4648148148062072,0.5416666664409722,0.0281436045462695,42.6
FLP-30034,Home Appliances,LG,17860,14070,21.2,4.2,979,2025-06-28,0.39259259258532236,0.6666666663888889,0.17571712069273393,45.6
FLP-30035,Fashion,Levis,2740,1630,40.6,3.7,443,2026-04-11,0.7214611871981403,0.4999999998076924,0.08781074578987813,54.900000000000006
FLP-30036,Headphones,JBL,1330,810,39.2,3.7,5,2025-11-13,0.6700854700740158,0.5185185183264747,0.0,51.7
FLP-30037,Laptops,Lenovo,79110,47640,39.8,3.4,541,2026-03-18,0.6945996275475865,0.35999999985599995,0.09095537077887476,48.699999999999996
FLP-30038,Home Appliances,Havells,6000,4130,31.2,4.2,196,2025-06-29,0.5777777777670782,0.6666666663888889,0.0344578747970351,52.7
FLP-30039,Laptops,Acer,88330,74800,15.3,4.1,777,2026-02-10,0.23836126628978846,0.6399999997439998,0.1310028847785286,36.3
FLP-30040,Fashion,Roadster,600,440,27.5,3.7,292,2026-06-04,0.4223744292141011,0.4999999998076924,0.05753809141939503,39.5
FLP-30041,Headphones,Sony,1640,1340,18.2,3.6,2040,2026-03-21,0.311111111105793,0.48148148130315505,0.3217900063250598,37.2
FLP-30042,Smartphones,Vivo,13370,10310,22.9,4.6,143,2025-05-05,0.3778877887726421,0.8333333329861109,0.030625832223694933,48.5
FLP-30043,Laptops,Dell,86700,65930,24.0,4.2,218,2026-06-11,0.400372439471129,0.6799999997280001,0.036144578313246876,44.4
FLP-30044,Fashion,Levis,660,550,16.6,4.3,1823,2025-08-08,0.1735159817311983,0.7307692304881656,0.3644747393744257,39.7
FLP-30045,Home Appliances,Havells,8510,5070,40.4,3.3,2183,2025-08-26,0.7481481481342935,0.2916666665451388,0.39292801731907034,53.5
FLP-30046,Smartwatches,Samsung,2140,1330,37.8,4.9,1991,2025-08-26,0.6385135135027278,0.9615384611686392,0.42013962343972494,71.89999999999999
FLP-30047,Smartwatches,boAt,4630,3120,32.5,4.5,517,2025-05-11,0.548986486477213,0.8076923073816568,0.10831394118889182,57.3
FLP-30048,Home Appliances,Samsung,14000,9470,32.4,4.0,245,2025-05-08,0.5999999999888889,0.5833333330902778,0.04329785314810693,51.1
FLP-30049,Fashion,H&M,1610,1030,35.8,4.3,417,2025-02-07,0.6118721461047518,0.7307692304881656,0.08259823576582144,57.4
FLP-30050,Fashion,Levis,1960,1310,33.3,4.1,181,2026-02-14,0.5547945205352787,0.6538461535946745,0.03528468323976838,51.2
FLP-30051,Home Appliances,LG,14680,7170,51.2,3.0,769,2025-05-23,0.94814814813059,0.16666666659722218,0.1378314991881404,55.300000000000004
FLP-30052,Fashion,Levis,1120,690,38.7,4.7,357,2025-03-18,0.6780821917653408,0.884615384275148,0.07056936647953677,65.9
FLP-30053,Smartwatches,Fire-Boltt,3900,2020,48.1,3.5,1240,2025-12-20,0.8124999999862754,0.4230769229142012,0.26126507298492463,59.4
FLP-30054,Fashion,Levis,970,660,32.5,4.0,2765,2025-11-26,0.5365296803530474,0.615384615147929,0.5533279871690951,56.699999999999996
FLP-30055,Laptops,Lenovo,22500,16170,28.1,4.7,363,2025-11-21,0.4767225325795769,0.879999999648,0.06075004242320367,55.50000000000001
FLP-30056,Smartphones,Vivo,28570,21690,24.1,4.1,88,2026-01-27,0.3976897689703352,0.6249999997395832,0.01841988459830927,42.0
FLP-30057,Footwear,Puma,1240,720,42.2,3.9,188,2026-05-26,0.7429577464657932,0.5925925923731138,0.0296116504854321,58.3
FLP-30058,Fashion,Van Heusen,1700,1030,39.1,3.8,426,2026-03-09,0.6872146118564564,0.5384615382544378,0.08440256615876414,54.50000000000001
FLP-30059,Home Appliances,Bosch,6000,4670,22.2,4.3,2352,2025-04-28,0.41111111110349796,0.7083333330381943,0.42341692224419564,51.7
FLP-30060,Headphones,Sony,2000,1620,19.1,4.2,481,2026-03-27,0.3264957264901454,0.7037037034430728,0.07526881720428917,42.1
FLP-30061,Laptops,Acer,36760,24020,34.6,3.4,1094,2026-06-11,0.5977653631173601,0.35999999985599995,0.18479552010857206,45.300000000000004
FLP-30062,Fashion,H&M,2050,1500,26.8,5.0,257,2025-07-29,0.4063926940546486,0.9999999996153845,0.05052125100239564,56.10000000000001
FLP-30063,Televisions,TCL,47000,32420,31.0,4.3,547,2026-01-25,0.5849056603663225,0.758620689393579,0.11844405594403005,57.599999999999994
FLP-30064,Fashion,H&M,840,400,52.8,4.3,782,2026-03-26,0.999999999977169,0.7307692304881656,0.15577385725738657,77.9
FLP-30065,Laptops,Lenovo,32000,26140,18.3,4.2,973,2025-05-16,0.2942271880764576,0.6799999997280001,0.16426268454095294,41.0
FLP-30066,Laptops,Asus,22500,15290,32.1,4.2,602,2025-12-02,0.5512104282951358,0.6799999997280001,0.1013066349906497,52.900000000000006
FLP-30067,Laptops,Dell,85370,48080,43.7,3.7,259,2025-05-18,0.7672253258702566,0.47999999980800007,0.04310198540640707,55.800000000000004
FLP-30068,Televisions,Mi,15000,10610,29.3,4.7,293,2026-05-17,0.5528301886688146,0.8965517238287753,0.06293706293704918,60.0
FLP-30069,Home Appliances,Samsung,6910,5070,26.6,4.2,2402,2025-05-17,0.49259259258347055,0.6666666663888889,0.4324373083167179,54.400000000000006
FLP-30070,Smartphones,OnePlus,23620,17200,27.2,3.8,2906,2026-06-13,0.44884488448104215,0.49999999979166654,0.6438082556589783,49.6
FLP-30071,Fashion,Levis,2770,1680,39.2,3.6,3288,2025-12-08,0.6894977168792353,0.4615384613609468,0.6581796311145433,60.5
FLP-30072,Headphones,Boult,1600,960,39.8,4.0,84,2025-03-29,0.6803418803302506,0.6296296293964335,0.012492093611636227,56.2
FLP-30073,Televisions,Samsung,41400,26650,35.6,4.4,88,2025-08-20,0.6716981131948737,0.7931034480023782,0.018138111888107922,61.6
FLP-30074,Footwear,Campus,2480,1780,28.3,3.6,570,2026-06-17,0.49823943661094655,0.48148148130315505,0.09142394822004993,43.1
FLP-30075,Smartwatches,boAt,1500,1220,18.6,3.9,404,2026-04-13,0.31418918918388195,0.5769230767011834,0.08440871588743717,37.2
FLP-30076,Smartphones,OnePlus,15280,11490,24.8,3.3,578,2026-01-10,0.4092409240856561,0.2916666665451388,0.12716378162447242,32.6
FLP-30077,Footwear,Adidas,1940,1270,34.5,3.7,1539,2026-04-20,0.6073943661864896,0.5185185183264747,0.2482200647248789,52.2
FLP-30078,Headphones,Noise,2760,1920,30.3,4.0,2582,2025-03-30,0.5179487179398642,0.6296296293964335,0.40749525616691845,54.0
FLP-30079,Smartphones,Vivo,7500,5450,27.3,3.2,2445,2025-09-01,0.4504950494975166,0.24999999989583338,0.5415002219262003,39.4
FLP-30080,Fashion,Levis,2320,1320,43.1,4.3,192,2025-09-29,0.7785388127676134,0.7307692304881656,0.03748997594225391,65.10000000000001
FLP-30081,Fashion,Roadster,790,530,32.5,3.8,62,2025-06-28,0.5365296803530474,0.5384615382544378,0.011427425821970443,45.800000000000004
FLP-30082,Footwear,Bata,2320,1150,50.5,3.5,441,2025-05-02,0.8890845070266007,0.4444444442798354,0.07055016181228631,61.1
FLP-30083,Smartphones,Samsung,18000,11940,33.7,4.6,220,2025-02-10,0.5561056105518795,0.8333333329861109,0.04771415889923486,57.699999999999996
